distance_group,n_pairs,mean_standard,mean_operon,delta
same_0_200,1336,0.34336008306997096,0.35487647470544587,0.01151639163547491
same_200_500,287,0.21256908718295597,0.2219729938338994,0.009403906650943428
same_500_1000,68,0.16913367506288976,0.16196227453753154,-0.007171400525358224
same_1000_2000,74,0.16840812892891574,0.19206965967339285,0.023661530744477105
same_2000_5000,72,0.18188154420467,0.18648897514966822,0.004607430944998214
opp_0_200,431,0.1532788124047144,0.15882189909745903,0.005543086692744642
opp_200_500,236,0.17811529677024462,0.17994218141289076,0.0018268846426461316
opp_500_1000,62,0.15214843003569428,0.16627328915076103,0.014124859115066751
opp_1000_2000,65,0.10013469143343648,0.10780232347326867,0.007667632039832187
opp_2000_5000,57,0.11405079979349676,0.14399457105995545,0.029943771266458682
