operon_name,n_genes,confidence,r_standard,r_operon,delta
ycaR-kdsB,2,Weak,0.14627797668480483,-0.09555792125665989,-0.2418358979414647
yjjUV,2,Weak,0.38572075712761644,0.6360855584856239,0.2503648013580074
yqcC-truC-yqcA,3,Weak,0.077697718410428,0.32670154919908684,0.24900383078865884
dinJ-yafQ,2,Weak,0.46742607078321174,0.39815122771614164,-0.0692748430670701
pgpC-tadA,2,Weak,0.2102227358456839,0.3491769848784162,0.1389542490327323
mdtUJI,2,Weak,0.3066913350195358,0.4045413437179266,0.09785000869839078
betIBA,3,,0.43628541466205845,0.5537286368914259,0.11744322222936748
mdlAB,2,Weak,0.6571042807556725,0.6079833619270644,-0.04912091882860814
ynfB-speG,2,Weak,0.27850301069163264,0.31714005959475433,0.038637048903121696
ppdD-hofBC,2,Weak,0.3608437702728052,0.4594368143418139,0.0985930440690087
mcrBC,2,Strong,0.19157408663460046,0.318279185698207,0.12670509906360655
yiiS-uspD,2,Weak,0.39610308649927933,0.5943976701987682,0.19829458369948888
valUXY-lysV,2,Weak,0.5490566591621153,0.6095262831496231,0.06046962398750777
pgaABCD,2,Weak,0.3514203533784512,0.5268509254145237,0.17543057203607254
fetAB,2,Weak,0.23050495783261285,0.20805236994041065,-0.022452587892202197
yccFS,2,Weak,0.18584727746743185,0.20977737006779723,0.023930092600365382
yciVOQ,2,Weak,0.4846259351629399,0.4509554283411998,-0.03367050682174011
abpAB,2,Weak,0.32253413402600395,0.5121885622052116,0.18965442817920763
ymfA-ycfZ,2,Weak,0.4542904523028084,0.2894172473987461,-0.16487320490406232
brnQ-proY,2,Weak,0.14020745033554277,0.0521176546825602,-0.08808979565298257
yqgEF,2,Weak,0.11376497707736527,0.3360504416223768,0.22228546454501152
phoBR,2,,0.4173097762914909,0.5867660253785041,0.16945624908701318
yadGH,2,Weak,0.5197625726711159,0.19491102443337868,-0.3248515482377372
xylAB,2,Weak,0.13267861001120995,0.0895962775257952,-0.04308233248541475
hinT-ycfL-lpoB-thiK-nagZ-ycfP,6,Weak,0.1062785985790314,0.06726846125275031,-0.039010137326281086
ykgEFG,2,Weak,0.1029469050916609,0.20206159229812187,0.09911468720646097
bcsEFG,3,Weak,0.5316515078199738,0.6182882897881384,0.0866367819681646
ypfJ-tmcA,2,Weak,0.2684150670975858,0.3162556489529916,0.047840581855405795
yqiJK,2,Weak,0.6117333703735636,0.7809345047968871,0.16920113442332352
cydDC,2,Strong,0.28737293565939787,0.230624607301011,-0.05674832835838686
uxuAB,2,Weak,0.328016232902833,0.47113088951078963,0.14311465660795664
yfdGHI,3,Weak,0.6630120964081229,0.6299950211315573,-0.03301707527656561
elfDCG-ycbUVF,2,Weak,0.22117142939188636,0.07828710947448786,-0.1428843199173985
yegTUV,2,Weak,0.1384175610193177,0.5569215961837988,0.4185040351644811
yfhM-pbpC,2,Weak,0.4381781875252572,0.5590932348933058,0.12091504736804853
yheSTU,3,Weak,0.4157550750805958,0.27720547689474145,-0.13854959818585433
ydbH-ynbE-ydbL,3,Weak,0.47851291906564136,0.4246009734885774,-0.05391194557706397
pyrLBI,2,Weak,-0.089538158015485,0.07113692042845439,0.16067507844393938
ybaB-recR,2,Weak,0.4290617998173786,0.5355803766655198,0.10651857684814126
ycaI-msbA-lpxK-ycaQ,4,Weak,0.27872480745925055,0.43187672753061684,0.1531519200713663
essQ-ydfR-rrrQ-rzpQ-rzoQ,2,Weak,0.6638063827246115,0.5533505777812993,-0.1104558049433122
prmB-aroC-mepA-yfcA-epmC-yfcL,6,Weak,0.375240183619873,0.3378831919817157,-0.03735699163815731
yhdT-panF-prmA,3,Weak,0.27649926867229935,0.463727242734316,0.18722797406201663
sbcDC,2,Weak,0.06055949138033248,0.2550619747953632,0.1945024834150307
ybgTE,2,Weak,-0.40181026204975917,-0.03363809519526638,0.3681721668544928
guaBA,2,Weak,0.447231324429401,0.6015737833362691,0.1543424589068681
thiCEFSGH,5,,0.30441715473255637,0.149552858882245,-0.15486429585031136
rppH-ptsP,2,Weak,0.12043167709496393,0.10429025446834934,-0.016141422626614582
pabC-mltG-tmk-holB-ycfH,5,Weak,0.3001418783647581,0.3326571997045457,0.03251532133978763
lldPRD,3,Weak,0.5391415990533965,0.5912964222085245,0.05215482315512798
ispDF,2,Weak,0.22264300714154803,0.3057259502322001,0.08308294309065209
yqaBA,2,Weak,0.4454810219862538,0.5093729027034773,0.06389188071722357
bamB-der,2,Weak,0.6519311050354522,0.6985623771663279,0.0466312721308757
hybOABCDEFG,7,Weak,0.13418725656487734,0.17235077990164463,0.038163523336767285
nfrBA,2,,0.0711090444307508,0.21333497939213183,0.14222593496138103
nudF-yqiB-cpdA-yqiA-parE,5,Weak,0.2685371547745195,0.29515963787749877,0.026622483102979266
ravA-viaA,2,Weak,0.24806153574155382,0.4476802403980487,0.1996187046564949
xanQ-guaD-ghxQ,2,Weak,-0.33359252622116453,0.46702298925742325,0.8006155154785878
wecA-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM,11,Weak,0.601494013321774,0.5719732874249803,-0.029520725896793665
sanA-yeiS,2,Weak,0.4434246469626362,0.38269306158792576,-0.06073158537471046
sbmA-yaiW,2,Weak,0.5522582812283767,0.4615119032859551,-0.09074637794242163
