operon_name,n_genes,confidence,r_standard,r_operon,delta
ycaR-kdsB,2,Weak,0.14627797668480483,-0.02985613733886747,-0.1761341140236723
yjjUV,2,Weak,0.38572075712761644,0.7193282242723625,0.3336074671447461
yqcC-truC-yqcA,3,Weak,0.077697718410428,0.2578564362643716,0.1801587178539436
dinJ-yafQ,2,Weak,0.46742607078321174,0.8389856257959528,0.37155955501274107
pgpC-tadA,2,Weak,0.2102227358456839,0.5414719128830928,0.3312491770374089
mdtUJI,2,Weak,0.3066913350195358,0.5059458556140294,0.19925452059449356
betIBA,3,,0.43628541466205845,0.7479406002527139,0.31165518559065547
mdlAB,2,Weak,0.6571042807556725,0.6277580425236527,-0.02934623823201976
ynfB-speG,2,Weak,0.27850301069163264,0.44339556415887343,0.1648925534672408
ppdD-hofBC,2,Weak,0.3608437702728052,0.615412960314314,0.25456919004150885
mcrBC,2,Strong,0.19157408663460046,0.4666046357762901,0.2750305491416896
yiiS-uspD,2,Weak,0.39610308649927933,0.8965175968590298,0.5004145103597504
valUXY-lysV,2,Weak,0.5490566591621153,0.8791489670971459,0.3300923079350305
pgaABCD,2,Weak,0.3514203533784512,0.8967933646602104,0.5453730112817592
fetAB,2,Weak,0.23050495783261285,0.19844408452670026,-0.03206087330591259
yccFS,2,Weak,0.18584727746743185,0.30028465839146457,0.11443738092403272
yciVOQ,2,Weak,0.4846259351629399,0.7029775097765407,0.21835157461360083
abpAB,2,Weak,0.32253413402600395,0.6196203385968209,0.2970862045708169
ymfA-ycfZ,2,Weak,0.4542904523028084,0.5035562481082363,0.04926579580542789
brnQ-proY,2,Weak,0.14020745033554277,0.2476917102294534,0.10748425989391064
yqgEF,2,Weak,0.11376497707736527,0.6441968625972808,0.5304318855199155
phoBR,2,,0.4173097762914909,0.8175812788015138,0.40027150251002286
yadGH,2,Weak,0.5197625726711159,0.4706373634374542,-0.049125209233661704
xylAB,2,Weak,0.13267861001120995,0.7111267122128035,0.5784481022015936
hinT-ycfL-lpoB-thiK-nagZ-ycfP,6,Weak,0.1062785985790314,0.23333269699666073,0.12705409841762932
ykgEFG,2,Weak,0.1029469050916609,0.1253045062091795,0.022357601117518583
bcsEFG,3,Weak,0.5316515078199738,0.5918525327795504,0.06020102495957658
ypfJ-tmcA,2,Weak,0.2684150670975858,0.5604455595163154,0.2920304924187296
yqiJK,2,Weak,0.6117333703735636,0.9586553454455479,0.3469219750719843
cydDC,2,Strong,0.28737293565939787,0.6526349293113118,0.365261993651914
uxuAB,2,Weak,0.328016232902833,0.8457135048097341,0.5176972719069011
yfdGHI,3,Weak,0.6630120964081229,0.6731374280916885,0.010125331683565664
elfDCG-ycbUVF,2,Weak,0.22117142939188636,0.17340135365933632,-0.047770075732550044
yegTUV,2,Weak,0.1384175610193177,0.6059461622052071,0.46752860118588946
yfhM-pbpC,2,Weak,0.4381781875252572,0.6664465078281786,0.22826832030292138
yheSTU,3,Weak,0.4157550750805958,0.3836878169441371,-0.032067258136458665
ydbH-ynbE-ydbL,3,Weak,0.47851291906564136,0.47027189789648305,-0.008241021169158314
pyrLBI,2,Weak,-0.089538158015485,0.7259103265033802,0.8154484845188652
ybaB-recR,2,Weak,0.4290617998173786,0.7771813646153667,0.3481195647979881
ycaI-msbA-lpxK-ycaQ,4,Weak,0.27872480745925055,0.4977171517532855,0.21899234429403497
essQ-ydfR-rrrQ-rzpQ-rzoQ,2,Weak,0.6638063827246115,0.7157710382030276,0.05196465547841611
prmB-aroC-mepA-yfcA-epmC-yfcL,6,Weak,0.375240183619873,0.5068213921919856,0.13158120857211264
yhdT-panF-prmA,3,Weak,0.27649926867229935,0.31963613053697837,0.04313686186467902
sbcDC,2,Weak,0.06055949138033248,0.20981337503883216,0.14925388365849968
ybgTE,2,Weak,-0.40181026204975917,0.7020260825527779,1.103836344602537
guaBA,2,Weak,0.447231324429401,0.5866698626938733,0.13943853826447233
thiCEFSGH,5,,0.30441715473255637,0.4342783049597442,0.1298611502271878
rppH-ptsP,2,Weak,0.12043167709496393,0.40648648387065967,0.2860548067756957
pabC-mltG-tmk-holB-ycfH,5,Weak,0.3001418783647581,0.3423528841571871,0.042211005792429035
lldPRD,3,Weak,0.5391415990533965,0.7168108941641482,0.1776692951107517
ispDF,2,Weak,0.22264300714154803,0.5945831443493934,0.37194013720784536
yqaBA,2,Weak,0.4454810219862538,0.5289336915403037,0.0834526695540499
bamB-der,2,Weak,0.6519311050354522,0.7073987216413192,0.055467616605867076
hybOABCDEFG,7,Weak,0.13418725656487734,0.2756764686773785,0.14148921211250115
nfrBA,2,,0.0711090444307508,0.32652609382374104,0.25541704939299026
nudF-yqiB-cpdA-yqiA-parE,5,Weak,0.2685371547745195,0.47579454842196445,0.20725739364744494
ravA-viaA,2,Weak,0.24806153574155382,0.4451096250975268,0.19704808935597296
xanQ-guaD-ghxQ,2,Weak,-0.33359252622116453,0.8526987947053488,1.1862913209265133
wecA-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM,11,Weak,0.601494013321774,0.6328723071658985,0.031378293844124494
sanA-yeiS,2,Weak,0.4434246469626362,0.7560282014018568,0.31260355443922055
sbmA-yaiW,2,Weak,0.5522582812283767,0.7147605206106219,0.16250223938224517
lolA-rarA,2,Weak,0.8309523494728707,0.8846089806856151,0.05365663121274444
def-fmt,2,Weak,0.5470304135822092,0.7307815722990987,0.18375115871688952
ydgI-folM,2,Weak,0.48654405066487366,0.465641624534117,-0.020902426130756657
arsRBC,3,Weak,0.5230893935147365,0.94047165663505,0.41738226312031346
dusB-fis,2,Weak,0.7349845191863634,0.6995160526577818,-0.0354684665285816
codBA,2,Weak,0.42410493588068027,0.5690108420471659,0.14490590616648563
yaeQ-arfB-nlpE,3,Weak,0.296961285883399,0.6245304029580284,0.32756911707462943
moeAB,2,,0.006213504075105812,0.44801280433722285,0.44179930026211706
wbbIJK,3,Weak,0.8131628507628484,0.8560963166460955,0.04293346588324709
ratA-yfjF,2,Weak,0.34759408969390604,0.2899493426986212,-0.057644746995284823
gspCDEFGHIJKLMO,4,Weak,0.19064646368895577,0.18796621438683372,-0.0026802493021220453
htrG-cca,2,Weak,0.6629039501588597,0.9019733702387674,0.23906942007990772
nrdHIEF,3,Strong,0.41252108777396485,0.6327943104224295,0.22027322264846466
basRS,2,,0.2894675144997235,0.813164091975334,0.5236965774756105
purEK,2,,0.4702895943149103,0.28860578708911117,-0.18168380722579913
puuAP,2,Weak,0.3693548466623655,0.32930758806832905,-0.04004725859403646
nudC-hemE-nfi,3,Weak,0.3467935720727378,0.4858394578561976,0.13904588578345978
argX-hisR-leuT-proM,4,Weak,0.3145776051967324,0.7125330810777083,0.3979554758809759
yieEF,2,Weak,0.7561995803181011,0.9014871587926504,0.14528757847454932
pdeI-dgcI,2,Weak,0.40354212368558723,0.8427316608826775,0.43918953719709025
yohJK,2,Weak,-0.26740165503534924,-0.3124461254196888,-0.04504447038433956
arnBCADTEF,3,Weak,0.3055654374350263,0.516502398925819,0.21093696149079266
wcaKLM,2,Weak,0.5935213658455998,0.7439725969268188,0.15045123108121905
yfbU-hxpA,2,Weak,0.32826104734352873,0.7295947291873779,0.40133368184384915
folP-glmM,2,Weak,0.359300081872246,0.35557571762739193,-0.0037243642448540615
fdnGHI,2,,0.10231733165708295,0.8904813893576948,0.7881640577006119
