operon_name,n_genes,confidence,r_standard,r_operon,delta,eval_seed,n_cells_used
ycaR-kdsB,2,Weak,0.14627797668480483,-0.008644017057003144,-0.15492199374180798,42,57627
yjjUV,2,Weak,0.38572075712761644,0.5049267233871603,0.11920596625954383,42,57627
yqcC-truC-yqcA,3,Weak,0.077697718410428,0.04563009092260656,-0.03206762748782144,42,57627
dinJ-yafQ,2,Weak,0.46742607078321174,0.5771605391788844,0.10973446839567269,42,57627
pgpC-tadA,2,Weak,0.2102227358456839,0.1425342192110683,-0.06768851663461561,42,57627
mdtUJI,2,Weak,0.3066913350195358,0.24795316367792727,-0.05873817134160855,42,57627
betIBA,3,Weak,0.43628541466205845,0.5119240905093426,0.07563867584728418,42,57627
mdlAB,2,Weak,0.6571042807556725,0.6216945347750231,-0.03540974598064939,42,57627
ynfB-speG,2,Weak,0.27850301069163264,0.124962217378469,-0.15354079331316361,42,57627
ppdD-hofBC,2,Weak,0.3608437702728052,0.5681987095927147,0.2073549393199095,42,57627
mcrBC,2,Strong,0.19157408663460046,0.3107508688580833,0.11917678222348282,42,57627
yiiS-uspD,2,Weak,0.39610308649927933,0.32582068318604906,-0.07028240331323027,42,57627
valUXY-lysV,2,Weak,0.5490566591621153,0.6021270322765739,0.05307037311445861,42,57627
pgaABCD,2,Weak,0.3514203533784512,0.17839728900759322,-0.17302306437085796,42,57627
fetAB,2,Weak,0.23050495783261285,0.31787720523466034,0.08737224740204749,42,57627
yccFS,2,Weak,0.18584727746743185,-0.05124838850524473,-0.23709566597267656,42,57627
yciVOQ,2,Weak,0.4846259351629399,0.38622128190710175,-0.09840465325583814,42,57627
abpAB,2,Weak,0.32253413402600395,0.31484800481111586,-0.007686129214888093,42,57627
ymfA-ycfZ,2,Weak,0.4542904523028084,0.4804824138869157,0.026191961584107304,42,57627
brnQ-proY,2,Weak,0.14020745033554277,0.20382795567066372,0.06362050533512095,42,57627
yqgEF,2,Weak,0.11376497707736527,0.19994459104769266,0.08617961397032739,42,57627
phoBR,2,Weak,0.4173097762914909,0.5004374395968672,0.08312766330537624,42,57627
yadGH,2,Weak,0.5197625726711159,0.39448001811206584,-0.12528255455905007,42,57627
