gene_1,gene_2
b0001,b0002
b0002,b0003
b0003,b0004
b0006,b0007
b0008,b0009
b0010,b0011
b0014,b0015
b0015,b0016
b0019,b0020
b0024,b0025
b0025,b0026
b0026,b0027
b0027,b0028
b0028,b0029
b0029,b0030
b0030,b0031
b0032,b0033
b0035,b0036
b0036,b0037
b0037,b0038
b0038,b0039
b0039,b0040
b0041,b0042
b0042,b0043
b0044,b0045
b0045,b0046
b0047,b0048
b0049,b0050
b0050,b0051
b0052,b0053
b0053,b0054
b0058,b0059
b0059,b0060
b0060,b0061
b0062,b0063
b0064,b0065
b0068,b4762
b4762,b0069
b4662,b0070
b0071,b0072
b0072,b0073
b0073,b0074
b0074,b0075
b0077,b0078
b0078,b0080
b0081,b0082
b0083,b0084
b0087,b0088
b0088,b0089
b0090,b0091
b0092,b0093
b0094,b0095
b0095,b0096
b0097,b0098
b0098,b0099
b0101,b0102
b0102,b0103
b4727,b0104
b0107,b0108
b0113,b0114
b0114,b0115
b0118,b0119
b0120,b0121
b0121,b0122
b0128,b0129
b0129,b0130
b0133,b0134
b0134,b0135
b0135,b0136
b0136,b0137
b0137,b0138
b0138,b0139
b0139,b0140
b0140,b0141
b0143,b0144
b0144,b0145
b0145,b0146
b0146,b0147
b0148,b0149
b0150,b0151
b0151,b0152
b4765,b0155
b0155,b4728
b0157,b0158
b0160,b0161
b0161,b0162
b0163,b0164
b0164,b0166
b0166,b0167
b0167,b0168
b4414,b0169
b0170,b0171
b0172,b0173
b0173,b0174
b0174,b0175
b0175,b0176
b0176,b0177
b0177,b0178
b0178,b0179
b0179,b0180
b0180,b0181
b0181,b0182
b0183,b0184
b0184,b0185
b0185,b0186
b0186,b0187
b0187,b0188
b0191,b0192
b0193,b0194
b0194,b0195
b0196,b0197
b0197,b0198
b0201,b0202
b0202,b0203
b0203,b0204
b0204,b0205
b0205,b0206
b0206,b0207
b0209,b0210
b0211,b0212
b0215,b0216
b0224,b0225
b0225,b0226
b0227,b0228
b0231,b0232
b0232,b0233
b0233,b0234
b0238,b0239
b0242,b0243
b0243,b0244
b0245,b0246
b0246,b4504
b4504,b0247
b0247,b0248
b0248,b0249
b0249,b0250
b0250,b0251
b0252,b0253
b4690,b0258
b0266,b0267
b0268,b0269
b0270,b0271
b0272,b0273
b0278,b0279
b0279,b4729
b0280,b0281
b0283,b0284
b0291,b0292
b0292,b0293
b0293,b0294
b4506,b0296
b0301,b0303
b0303,b0304
b0306,b0307
b0311,b0312
b0312,b0313
b0316,b0317
b0318,b0319
b0320,b0321
b0321,b0322
b0322,b0323
b0323,b0324
b0333,b0334
b0334,b0335
b0339,b0340
b0340,b0341
b0342,b0343
b0343,b0344
b0344,b0345
b0345,b0346
b0347,b0348
b0348,b0349
b0349,b0350
b0353,b0354
b0355,b0356
b0356,b0357
b0357,b0358
b0365,b0366
b4767,b0372
b0377,b0378
b0382,b0383
b0383,b0384
b0384,b0385
b0387,b0388
b0388,b0389
b0390,b0391
b0396,b0397
b0399,b0400
b0401,b0402
b0402,b0403
